channels_name;country;city;watch_count
"NBS TV";UG;Kampala;6362
"NBS Live";UG;Kampala;1655
"NBS Plus";UG;Kampala;1395
"NBS TV";AE;Dubai;1086
"Sanyuka TV";UG;Kampala;1024
"Al Jazeera English";UG;Kampala;925
"Bukedde 1";UG;Kampala;760
"Manifest Television";UG;Kampala;738
"UBC TV";UG;Kampala;722
"NBS TV";KE;Nairobi;649
"NBS TV";QA;Doha;579
"NBS TV";UG;;522
"NBS Sport";UG;Kampala;476
"NBS TV";FR;;452
"Next Radio 106.1";UG;Kampala;422
"Sanyuka TV";AE;Dubai;407
"NBS TV";AE;"Abu Dhabi";363
"NBS TV";RW;Kigali;332
"NBS Live";AE;Dubai;284
"Faraja DTV";UG;Kampala;281
"NBS TV";TZ;"Dar es Salaam";279
"Radio Walla";UG;Kampala;269
DW;UG;Kampala;248
"RT International";UG;Kampala;244
"NBS TV";DE;"Frankfurt am Main";233
"Galaxy TV";UG;Kampala;207
"Host TV";UG;Kampala;194
"NBS Live";AE;"Abu Dhabi";185
"Sanyuka TV";QA;Doha;185
"NBS TV";ZA;Johannesburg;173
"NUP Radio 91.4";UG;Kampala;168
"NBS Live";KE;Nairobi;167
"UBC TV";AE;Dubai;162
"NBS Plus";FR;;156
"NBS TV";US;Issaquah;155
"NBS Music";UG;Kampala;155
"NBS TV";GB;London;150
"NBS TV";SA;Riyadh;142
"NBS TV";GB;;142
"Sanyuka TV";AE;"Abu Dhabi";141
"NBS Live";QA;Doha;139
"NBS Sport 2";UG;Kampala;138
"NBS TV";FR;Lauterbourg;135
"Salt TV";UG;Kampala;134
"NBS TV";CA;Montreal;133
"UBC TV";QA;Doha;132
"NBS TV";TZ;;132
AfroFlix;UG;Kampala;129
"Tayari West";UG;Kampala;129
"Next Radio Visual";UG;Kampala;124
"NBS TV";SS;Juba;122
"NBS TV";SO;;121
"Kwiso TV";UG;Kampala;121
"Salam TV";UG;Kampala;120
"Sanyuka TV";UG;;119
"CBS Eyobujjajja";UG;Kampala;119
"NBS TV";GB;Hackney;114
"BaBa TV";UG;Kampala;113
"NBS TV";AE;Sharjah;112
"NBS TV";TR;Istanbul;111
"NBS Live";FR;;109
"NBS TV";NL;Amsterdam;108
"UBC TV";KE;Nairobi;106
"NBS TV";KE;;106
"RT International";UG;;105
"Ground TV";UG;Kampala;102
KSTV;UG;Kampala;99
"NBS TV";FR;Paris;97
"NBS TV";EG;Cairo;97
"NBS TV";GB;Southwark;96
"NBS Live";UG;;95
"NBS TV";BH;Manama;95
"Magic 1";UG;Kampala;94
"NBS TV";ES;Madrid;90
"NBS Plus";AE;Dubai;89
"NBS TV";DK;Kolding;89
"NBS TV";OM;Muscat;88
"Dream TV";UG;Kampala;87
"UBC TV";AE;"Abu Dhabi";86
"Al Jazeera English";FR;;86
U24;UG;Kampala;86
"NBS TV";CA;Toronto;84
"NBS TV";SA;Jeddah;83
"K24 TV";UG;Kampala;83
"NBS TV";US;;80
